Trial_ID,Title,Has_Outcome_Data,Primary_Outcome_Count,Secondary_Outcome_Count,Primary_Outcomes,Secondary_Outcomes,CBR,CR,DFS,DMFS,DoR,EFS,LRFS,ORR,OS,PFS,PR,QOL,RR,TOX,TTF,TTP
NCT00531934,A Study of Management of Tarceva - Induced Rash in Patients With Non-Small Cell Lung Cancer.,True,1,31,Percentage of Participants With at Least One Skin Rash (Folliculitis) of Any Grade During the First 4 Months of Treatment (NUMBER) percentage of participants = 71.2,Number of Skin Rash (Folliculitis) Events During the First 4 Months of Treatment (NUMBER) rash events = 57; Percentage of Participants With Skin Rash (Folliculitis) During the First 4 Months of Treatment By Type (NUMBER) percentage of participants = 55.8; Percentage of Participants With Skin Rash (Folliculitis) During the First 4 Months of Treatment By Maximal Intensity (NUMBER) percentage of participants = 61.5; Percentage of Participants With at Least One Skin Rash (Folliculitis) of Any Grade After the First 4 Months of Treatment (NUMBER) percentage of participants = 2.7; Number of Skin Rash (Folliculitis) Events After the First 4 Months of Treatment (NUMBER) rash events = 2; Number of Participants With Skin Rash (Folliculitis) After the First 4 Months of Treatment By Type (NUMBER) participants = 1; Number of Participants With Skin Rash (Folliculitis) After the First 4 Months of Treatment By Intensity (NUMBER) participants = 2; Time Free From Skin Rash (Folliculitis) During the First 4 Months of Treatment - Number of Participants With an Event (NUMBER) participants = 52; Time Free From Skin Rash (Folliculitis) During the First 4 Months of Treatment - Time to Event (MEDIAN) days = 14 [13-22]; Percentage of Participants Estimated to be Event Free at 4 Months (NUMBER) percentage of participants = 24.7; Time Free From Skin Rash (Folliculitis) During the Whole Treatment Period - Number of Participants With an Event (NUMBER) participants = 53; Time Free From Skin Rash (Folliculitis) During the Whole Treatment Period - Time to Event (MEDIAN) days = 14 [13-22]; Percentage of Participants Estimated to be Event Free at 12 Months (NUMBER) percentage of participants = 19.8; Duration of Skin Rash (Folliculitis) During the First 4 Months of Treatment (MEAN) days = 59.6; Duration of Skin Rash (Folliculitis) During the Whole Treatment Period (MEDIAN) days = 86.7; Percentage of Participants With Other Skin Lesions of Any Grade During the First 4 Months of Treatment (NUMBER) percentage of participants = 39.7; Percentage of Participants With Other Skin Lesions During the First 4 Months of Treatment By Type (NUMBER) percentage of participants = 37.0; Percentage of Participants With Other Skin Lesions During the First 4 Months of Treatment By Maximal Intensity (NUMBER) percentage of participants = 69.0; Percentage of Participants With Erlotinib Dose Reduction by Reason for Reduction (NUMBER) percentage of participants = 80.0; Percentage of Participants With Doxycycline Dose Reduction by Reason for Reduction (NUMBER) percentage of participants = 50.0; Percentage of Participants With Global Disease Control by Visit (NUMBER) percentage of participants = 88.2; Percentage of Participants by Best Global Response Under Treatment (NUMBER) percentage of participants = 15.5; Progression-Free Survival (PFS) - Percentage of Participants With an Event (NUMBER) percentage of participants = 91.8; Progression-Free Survival (PFS) - Time to Event (MEDIAN) days = 63.0 [56.0-107.0]; Percentage of Participants Estimated to be Progression Free at 4 and 12 Months (NUMBER) percentage of participants = 30.1; Overall Survival (OS) - Percentage of Participants With an Event (NUMBER) percentage of participants = 71.2; Overall Survival (OS) - Time to Event (MEDIAN) days = 227.0 [153.0-282.0]; Percentage of Participants Estimated to be Alive at 4 and 12 Months (NUMBER) percentage of participants = 68.5; Dermatology Life Quality Index (DLQI) Global Score (MEAN) units on a scale = 0.2; Percentage of Participants by DLQI Global Score Classification of Disease Effect on Quality of Life (NUMBER) percentage of participants = 98.5; Quality of Life Score as Assessed by Visual Analog Scale (VAS) (MEAN) mm = 81.4,,,,,,,,,Overall Survival (OS) - Percentage of Participants With an Event (NUMBER) percentage of participants = 71.2; Overall Survival (OS) - Time to Event (MEDIAN) days = 227.0 [153.0-282.0],Progression-Free Survival (PFS) - Percentage of Participants With an Event (NUMBER) percentage of participants = 91.8; Progression-Free Survival (PFS) - Time to Event (MEDIAN) days = 63.0 [56.0-107.0],,Percentage of Participants by DLQI Global Score Classification of Disease Effect on Quality of Life (NUMBER) percentage of participants = 98.5; Quality of Life Score as Assessed by Visual Analog Scale (VAS) (MEAN) mm = 81.4,,,,
NCT00531960,A Study of Tarceva (Erlotinib) in Combination With Avastin (Bevacizumab) in Patients With Advanced N,True,2,4,Percentage of Participants With Disease Progression or Death (NUMBER) percentage of participants = 72.1; PFS (MEDIAN) weeks = 34.6 [25.0-42.4],Percentage of Participants Who Died (NUMBER) percentage of participants = 45.9; ; Percentage of Participants With a Best Overall Response (BOR) of Confirmed Complete Response (CR) or Partial Response (PR) According to RECIST V 1.0 (NUMBER) percentage of participants = 44.3 [31.5-57.6]; Percentage of Participants With Disease Control According to RECIST V 1.0 (NUMBER) percentage of participants = 85.2 [73.8-93.0],,Percentage of Participants With a Best Overall Response (BOR) of Confirmed Complete Response (CR) or Partial Response (PR) According to RECIST V 1.0 (NUMBER) percentage of participants = 44.3 [31.5-57.6],,,,,,,,PFS (MEDIAN) weeks = 34.6 [25.0-42.4],Percentage of Participants With a Best Overall Response (BOR) of Confirmed Complete Response (CR) or Partial Response (PR) According to RECIST V 1.0 (NUMBER) percentage of participants = 44.3 [31.5-57.6],,,,,
NCT00533429,Study of Pemetrexed + Carboplatin + Bevacizumab + Enzastaurin Versus Pemetrexed + Carboplatin + Beva,True,1,5,Progression-Free Survival (PFS) (NUMBER) months = 3.5 [2.0-5.8],Percentage of Participants With Complete Response (CR) or Partial Response (PR) (Response Rate) (NUMBER) percentage of participants = 20.0 [2.5-37.5]; Overall Survival (OS) (MEDIAN) months = 9.1; Time to Progressive Disease (TTPD) (MEDIAN) Months = 4.3 [1.7-5.8]; Duration of Response (DoR) (MEDIAN) Months = 4.7; Pharmacology Toxicity and Adverse Events (AEs) (COUNT_OF_PARTICIPANTS) Participants = 19,,Percentage of Participants With Complete Response (CR) or Partial Response (PR) (Response Rate) (NUMBER) percentage of participants = 20.0 [2.5-37.5],,,Duration of Response (DoR) (MEDIAN) Months = 4.7,,,,Overall Survival (OS) (MEDIAN) months = 9.1,Progression-Free Survival (PFS) (NUMBER) months = 3.5 [2.0-5.8],Percentage of Participants With Complete Response (CR) or Partial Response (PR) (Response Rate) (NUMBER) percentage of participants = 20.0 [2.5-37.5],,Percentage of Participants With Complete Response (CR) or Partial Response (PR) (Response Rate) (NUMBER) percentage of participants = 20.0 [2.5-37.5],Pharmacology Toxicity and Adverse Events (AEs) (COUNT_OF_PARTICIPANTS) Participants = 19,,
NCT00540514,Albumin-bound Paclitaxel (ABI-007) for Patients With Advanced Non-Small Cell Lung Cancer,True,1,7,Percentage of Participants Who Achieved an Objective Confirmed Complete Response or Partial Response by Blinded Radiology Assessment (NUMBER) percentage of participants = 33 [28.6-36.7],Progression-free Survival by Blinded Radiology Assessment (MEDIAN) months = 6.3 [5.6-7.0]; Overall Participant Survival (MEDIAN) months = 12.1 [10.8-12.9]; Percentage of Participants With Controlled Disease (NUMBER) percentage of participants = 53 [48.3-56.9]; Duration of Response in Responding Patients (MEDIAN) months = 9.6 [8.3-10.8]; Number of Participants With Adverse Events (AEs) (NUMBER) participants = 483; ; SPARC Status and Correlation With Overall Survival (NUMBER) participants = 17 [3.3-23.1],,Percentage of Participants Who Achieved an Objective Confirmed Complete Response or Partial Response by Blinded Radiology Assessment (NUMBER) percentage of participants = 33 [28.6-36.7],,,Duration of Response in Responding Patients (MEDIAN) months = 9.6 [8.3-10.8],,,,SPARC Status and Correlation With Overall Survival (NUMBER) participants = 17 [3.3-23.1],Progression-free Survival by Blinded Radiology Assessment (MEDIAN) months = 6.3 [5.6-7.0],Percentage of Participants Who Achieved an Objective Confirmed Complete Response or Partial Response by Blinded Radiology Assessment (NUMBER) percentage of participants = 33 [28.6-36.7],,,Number of Participants With Adverse Events (AEs) (NUMBER) participants = 483,,
NCT00550173,A Study for Non-Smoker Patients With Nonsquamous Non-Small Cell Lung Cancer,True,1,7,Progression-Free Survival (PFS) (MEDIAN) months = 7.4 [4.4-12.9],"Percentage of Participants With a Tumor Response of Complete Response (CR) or Partial Response (PR) [Tumor Response Rate (TRR)] (NUMBER) percentage of participants = 44.7; Overall Survival (OS) (MEDIAN) months = 20.5 [17.1-25.0]; Number of Participants With Adverse Events (NUMBER) participants = 25; Percentage of Participants With CR, PR, and Stable Disease (SD) - Disease Control Rate (DCR) (NUMBER) percentage of participants = 64.5; Time to Worsening of Symptoms (TWS) on Lung Cancer Symptoms Scale (LCSS) (MEDIAN) months = 1.0 [0.9-1.6]; Number of Participants With Mutated or Non-Mutated Epidermal Growth Factor Receptor (EGFR) Genotype Status (NUMBER) participants = 7; Probability of OS at 12 Months (NUMBER) percent chance of survival = 40.2 [28.3-51.8]",,Percentage of Participants With a Tumor Response of Complete Response (CR) or Partial Response (PR) [Tumor Response Rate (TRR)] (NUMBER) percentage of participants = 44.7,,,,,,,Overall Survival (OS) (MEDIAN) months = 20.5 [17.1-25.0]; Probability of OS at 12 Months (NUMBER) percent chance of survival = 40.2 [28.3-51.8],Progression-Free Survival (PFS) (MEDIAN) months = 7.4 [4.4-12.9],Percentage of Participants With a Tumor Response of Complete Response (CR) or Partial Response (PR) [Tumor Response Rate (TRR)] (NUMBER) percentage of participants = 44.7,,Percentage of Participants With a Tumor Response of Complete Response (CR) or Partial Response (PR) [Tumor Response Rate (TRR)] (NUMBER) percentage of participants = 44.7,Number of Participants With Adverse Events (NUMBER) participants = 25,,
NCT00556322,"A Study of Tarceva (Erlotinib) and Standard of Care Chemotherapy in Patients With Advanced, Recurren",True,3,19,Percentage of Participants Who Died (All Participants; Data Cutoff: 07 September 2010) (NUMBER) percentage of participants = 81.0; Duration of Overall Survival in All Participants (Data Cutoff 07 September 2010) (MEDIAN) months = 5.5 [4.4-7.1]; Probable Percentage of Participants Remaining Alive at 1 Year (NUMBER) percentage of participants = 24.0 [18.0-30.0],Percentage of Participants Who Died in Epidermal Growth Factor Receptor (EGFR) Positive and Negative Population (NUMBER) percentage of participants = 79.9; Duration of OS in EGFR Positive and Negative Population (MEDIAN) months = 5.5 [4.1-7.5]; Probable Percentage of Participants Remaining Alive at 1 Year in the EGFR Positive and Negative Population (NUMBER) percentage of participants = 27.0 [19.0-34.0]; Percentage of Participants With Disease Progression or Death (All Participants; Data Cut Off 07 September 2010) (NUMBER) percentage of participants = 83.3; Progression-Free Survival (PFS) in All Participants (Data Cutoff 07 September 2010) (MEDIAN) weeks = 8.6 [7.1-12.1]; Probable Percentage of Participants Remaining Alive and Progression Free at 6 Months (NUMBER) percentage of participants = 17.0 [12.0-22.0]; Percentage of Participants With Disease Progression or Death in EGFR Positive and Negative Population (Data Cut Off 07 September 2010) (NUMBER) percentage of participants = 79.9; PFS in EGFR Positive and Negative Population (Data Cutoff 07 September 2010) (MEDIAN) weeks = 8.9 [7.1-12.6]; Probable Percentage of Participants Remaining Alive and Progression Free at 6 Months in EGFR Positive and Negative Population (NUMBER) percentage of participants = 20.0 [13.0-28.0]; Percentage of Participants Achieving a Best Overall Response of Confirmed Complete Response (CR) or Partial Response (PR) as Assessed by the Investigator Using RECIST (NUMBER) percentage of participants = 6.3 [3.5-10.4]; Percentage of Participants With Deterioration in Quality of Life Determined Using Functional Assessment of Cancer Therapy - Lung (FACT-L) (NUMBER) percentage of participants = 66.1; Time to Deterioration in Quality of Life Using FACT-L (MEDIAN) weeks = 9.0 [7.1-11.6]; Probable Percentage of Participants Remaining Without Deterioration in Quality of Life at 6 Months as Assessed by FACT-L (NUMBER) percentage of participants = 25.0 [17.0-34.0]; Percentage of Participants With Symptomatic Progression Using FACT-L (NUMBER) percentage of participants = 60.6; Time to Symptomatic Progression Using FACT-L (MEDIAN) weeks = 9.0 [7.0-12.1]; Probable Percentage of Participants With Symptomatic Progression at 6 Months as Assessed by FACT-L (NUMBER) percentage of participants = 27 [18-36]; Percentage of Participants With Deterioration in the Trial Outcome Index (TOI) (NUMBER) percentage of participants = 60.0; Time to Deterioration in the TOI (MEDIAN) weeks = 9.3 [7.6-13.0]; Probable Percentage of Participants With Deterioration in the TOI at 6 Months as Assessed by FACT-L (NUMBER) percentage of participants = 28 [19-37],,Percentage of Participants Achieving a Best Overall Response of Confirmed Complete Response (CR) or Partial Response (PR) as Assessed by the Investigator Using RECIST (NUMBER) percentage of participants = 6.3 [3.5-10.4],,,,,,,Duration of Overall Survival in All Participants (Data Cutoff 07 September 2010) (MEDIAN) months = 5.5 [4.4-7.1]; Duration of OS in EGFR Positive and Negative Population (MEDIAN) months = 5.5 [4.1-7.5],Progression-Free Survival (PFS) in All Participants (Data Cutoff 07 September 2010) (MEDIAN) weeks = 8.6 [7.1-12.1]; PFS in EGFR Positive and Negative Population (Data Cutoff 07 September 2010) (MEDIAN) weeks = 8.9 [7.1-12.6],Percentage of Participants Achieving a Best Overall Response of Confirmed Complete Response (CR) or Partial Response (PR) as Assessed by the Investigator Using RECIST (NUMBER) percentage of participants = 6.3 [3.5-10.4],Percentage of Participants With Deterioration in Quality of Life Determined Using Functional Assessment of Cancer Therapy - Lung (FACT-L) (NUMBER) percentage of participants = 66.1; Time to Deterioration in Quality of Life Using FACT-L (MEDIAN) weeks = 9.0 [7.1-11.6]; Probable Percentage of Participants Remaining Without Deterioration in Quality of Life at 6 Months as Assessed by FACT-L (NUMBER) percentage of participants = 25.0 [17.0-34.0],,,,
NCT00556712,"A Study of Tarceva (Erlotinib) Following Platinum-Based Chemotherapy in Patients With Advanced, Recu",True,6,30,Percentage of Participants With PD According to Response Evaluation Criteria in Solid Tumors (RECIST) or Death (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 89.5; PFS in All Participants (Data Cutoff 17 May 2008) (MEDIAN) weeks = 11.1 [8.1-11.7]; Probable Percentage of Participants Remaining Alive and Free of Disease Progression at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 15.0 [12.0-19.0]; Percentage of Epidermal Growth Factor Receptor (EGFR) Immunohistochemistry (IHC) Positive Participants With PD or Death (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 89.4; PFS in EGFR IHC Positive Population (Data Cutoff 17 May 2008) (MEDIAN) weeks = 11.1 [7.1-11.7]; Probable Percentage of Participants in the EGFR IHC Positive Population Remaining Alive and Progression Free at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 16.0 [12.0-21.0],"Percentage of All Participants Who Died (Data Cutoff 12 January 2012) (NUMBER) percentage of participants = 87.1; Overall Survival (OS) in All Participants (Data Cutoff 12 January 2012) (MEDIAN) months = 11.0 [9.9-12.0]; Probable Percentage of Participants Remaining Alive at 1 Year (Data Cutoff 12 January 2012) (NUMBER) percentage of participants = 45.0 [41.0-50.0]; Percentage of EGFR IHC Positive Participants Who Died (Data Cutoff 12 January 2012) (NUMBER) percentage of participants = 87.5; OS in EGFR IHC Positive Population (Data Cutoff 12 January 2012) (MEDIAN) months = 11.0 [9.7-12.8]; Probable Percentage of Participants in the EGFR IHC Positive Population Remaining Alive at 1 Year (Data Cutoff 12 January 2012) (NUMBER) percentage of participants = 47.0 [41.0-52.0]; Percentage of EGFR IHC Negative Participants With PD or Death (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 89.8; PFS in EGFR IHC Negative Participants (Data Cutoff 17 May 2008) (MEDIAN) weeks = 9.0 [6.4-12.0]; Probable Percentage of Participants in the EGFR IHC Negative Population Remaining Alive and Free of Disease Progression at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 11.0 [2.0-20.0]; Percentage of EGFR IHC Negative Participants Who Died (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 50.8; OS in EGFR IHC Negative Participants (Data Cutoff 17 May 2008) (MEDIAN) months = 10.2 [7.4-11.2]; Probable Percentage of Participants in the EGFR IHC Negative Population Remaining Alive at 1 Year (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 20.0 [3.0-37.0]; Time to Progression (Data Cutoff 17 May 2008) (MEDIAN) weeks = 11.3 [8.1-11.9]; Probable Percentage of Participants Remaining Progression-Free in the TTP Analysis at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 15.0 [11.0-19.0]; Percentage of Participants With a Best Overall Response (BOR) of Confirmed Complete Response (CR) or Partial Response (PR) According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 5.4 [3.5-7.9]; Percentage of Participants With a CR, PR, Stable Disease (SD), or PD According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 0.7 [0.1-2.0]; Percentage of Participants With a Response Upgrade From BL According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 1.3 [0.5-2.9]; Percentage of Participants With a Change of PR to CR or SD to PR or CR From BL to End of Treatment According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 0.4 [0.1-1.6]; Percentage of Participants With CR, PR, or SD or With SD [Maintained For Greater Than (>) 12 Weeks] or CR or PR (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 50.8 [46.0-55.5]; Percentage of Participants With Symptom Progression Assessed Using the Lung Cancer Subscale (LCS) (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 44.1; Time to Symptom Progression (Data Cutoff 17 May 2008) (MEDIAN) weeks = 17.6 [12.4-19.1]; Probable Percentage of Participants Remaining Without Symptom Progression at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 35.0 [27.0-42.0]; Percentage of Participants With Deterioration Assessed Using the Trial Outcome Index (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 43.1; Time to Deterioration in TOI (Data Cutoff 17 May 2008) (MEDIAN) weeks = 18.9 [13.6-24.1]; Probable Percentage of Participants Remaining Without Deterioration in TOI at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 41.0 [34.0-48.0]; Percentage of Participants With Deterioration in Quality of Life Assessed Using TOI, SWB, and EWB (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 51.7; Time to Deterioration in QoL (Data Cutoff 17 May 2008) (MEDIAN) weeks = 12.3 [11.9-17.9]; Probable Percentage of Participants Remaining Without Deterioration in QoL at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 34.0 [27.0-40.0]; Functional Assessment of Chronic Illness Therapy - Lung (FACT-L) Scores (Data Cutoff 17 May 2008) (MEAN) score on a scale = 20.85; Change From BL in FACT-L Scores (Data Cutoff 17 May 2008) (MEAN) score on a scale = 0.22",,"Percentage of Participants With a Best Overall Response (BOR) of Confirmed Complete Response (CR) or Partial Response (PR) According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 5.4 [3.5-7.9]; Percentage of Participants With a Change of PR to CR or SD to PR or CR From BL to End of Treatment According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 0.4 [0.1-1.6]; Percentage of Participants With CR, PR, or SD or With SD [Maintained For Greater Than (>) 12 Weeks] or CR or PR (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 50.8 [46.0-55.5]",,,,,,,Overall Survival (OS) in All Participants (Data Cutoff 12 January 2012) (MEDIAN) months = 11.0 [9.9-12.0]; OS in EGFR IHC Positive Population (Data Cutoff 12 January 2012) (MEDIAN) months = 11.0 [9.7-12.8]; OS in EGFR IHC Negative Participants (Data Cutoff 17 May 2008) (MEDIAN) months = 10.2 [7.4-11.2],PFS in All Participants (Data Cutoff 17 May 2008) (MEDIAN) weeks = 11.1 [8.1-11.7]; PFS in EGFR IHC Positive Population (Data Cutoff 17 May 2008) (MEDIAN) weeks = 11.1 [7.1-11.7]; PFS in EGFR IHC Negative Participants (Data Cutoff 17 May 2008) (MEDIAN) weeks = 9.0 [6.4-12.0],"Percentage of Participants With a Best Overall Response (BOR) of Confirmed Complete Response (CR) or Partial Response (PR) According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 5.4 [3.5-7.9]; Percentage of Participants With a Change of PR to CR or SD to PR or CR From BL to End of Treatment According to RECIST (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 0.4 [0.1-1.6]; Percentage of Participants With CR, PR, or SD or With SD [Maintained For Greater Than (>) 12 Weeks] or CR or PR (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 50.8 [46.0-55.5]","Percentage of Participants With Deterioration in Quality of Life Assessed Using TOI, SWB, and EWB (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 51.7; Time to Deterioration in QoL (Data Cutoff 17 May 2008) (MEDIAN) weeks = 12.3 [11.9-17.9]; Probable Percentage of Participants Remaining Without Deterioration in QoL at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 34.0 [27.0-40.0]",,,,Time to Progression (Data Cutoff 17 May 2008) (MEDIAN) weeks = 11.3 [8.1-11.9]; Probable Percentage of Participants Remaining Progression-Free in the TTP Analysis at 6 Months (Data Cutoff 17 May 2008) (NUMBER) percentage of participants = 15.0 [11.0-19.0]
NCT00563784,TARCEVA (Erlotinib) in Combination With Chemoradiation in Patients With Stage IIIA/B Non-Small Cell ,True,1,1,Time To First Disease Progression (MEDIAN) Month = 14 [9.0-18.6],Overall Survival and Disease Local Control Rate (NUMBER) percentage of participants = 35.9,,,,,,,,,Overall Survival and Disease Local Control Rate (NUMBER) percentage of participants = 35.9,,,,,,,
NCT00564733,FDG-Labeled PET Scan in Planning Chemotherapy in Treating Patients With Stage IIIB or IV Non-Small C,True,1,0,Overall Response Rate (Patients That Achieve a CR or PR) (NUMBER) participants = 13,,,Overall Response Rate (Patients That Achieve a CR or PR) (NUMBER) participants = 13,,,,,,,,,Overall Response Rate (Patients That Achieve a CR or PR) (NUMBER) participants = 13,,Overall Response Rate (Patients That Achieve a CR or PR) (NUMBER) participants = 13,,,
NCT00567359,"Erlotinib in Patients With Resected, Early Stage NSCLC With Confirmed Mutations in the EGFR",True,1,3,2-year Disease-free Survival (COUNT_OF_PARTICIPANTS) Participants = 88,Number of Participants With Treat Related Serious Adverse Events (COUNT_OF_PARTICIPANTS) Participants = 20; ; ,,,2-year Disease-free Survival (COUNT_OF_PARTICIPANTS) Participants = 88,,,,,,,,,,,Number of Participants With Treat Related Serious Adverse Events (COUNT_OF_PARTICIPANTS) Participants = 20,,
NCT00577707,Erlotinib and Chemotherapy for Patients With Stage IB-IIIA NSCLC With EGFR Mutations (ECON),True,1,2,Number of Patients With Pathologic Complete Response Rate (NUMBER) participants = 1,; ,,Number of Patients With Pathologic Complete Response Rate (NUMBER) participants = 1,,,,,,,,,,,Number of Patients With Pathologic Complete Response Rate (NUMBER) participants = 1,,,
NCT00588445,Phase II Trial to Correlate Radiographic Response Induced By Gefitinib With Mutations in the Protein,True,1,1,The Radiographic Response to Gefitinib (NUMBER) participants = 21,Microarray Analysis to Identify Gene(s) or Gene Clusters That Exhibit Changes in Gene Expression; Time to Relapse and Overall Survival Data (NUMBER) percentage of participants = 85,,,,,,,,,Microarray Analysis to Identify Gene(s) or Gene Clusters That Exhibit Changes in Gene Expression; Time to Relapse and Overall Survival Data (NUMBER) percentage of participants = 85,,,,,,,
NCT00590902,"Ph II OSI-774 (Erlotinib,Tarceva) In Advanced Bronchioloalveolar Cell Lung Cancer",True,1,0,Overall Objective Response of OSI-774 (NUMBER) participants = 1,,,,,,,,,,,,,,,,,
NCT00591838,A Phase I/II Trial of Stereotactic Body Radiation Therapy,True,4,4,Phase I Portion Only: Determine the Maximum Tolerated Dose of SBRT (NUMBER) Gy x 5 fractions = 11; Phase I Portion Only: Number of Participants With Acute Treatment Related Grade 3-5 Toxicity (COUNT_OF_PARTICIPANTS) Participants = 0; Phase I Portion Only: Number of Participants With Late Treatment Related Grade 3-5 Toxicity (COUNT_OF_PARTICIPANTS) Participants = 0; Phase II Portion Only: Local Control Rate (NUMBER) percentage of participants = 85 [62-95],Phase II Only: Regional Nodal Recurrence Rate (NUMBER) percentage of participants = 0; Phase II Only: Disseminated Recurrence Rate (NUMBER) percentage of participants = 27 [15-45]; Phase II Only: Disease-free Survival Rate (NUMBER) percentage of participants = 28 [16-42]; Phase II Only: Overall Survival Rate (NUMBER) percentage of participants = 43 [28-57],,,Phase II Only: Disease-free Survival Rate (NUMBER) percentage of participants = 28 [16-42],,,,,,Phase II Only: Overall Survival Rate (NUMBER) percentage of participants = 43 [28-57],,,,,Phase I Portion Only: Number of Participants With Acute Treatment Related Grade 3-5 Toxicity (COUNT_OF_PARTICIPANTS) Participants = 0; Phase I Portion Only: Number of Participants With Late Treatment Related Grade 3-5 Toxicity (COUNT_OF_PARTICIPANTS) Participants = 0,,
NCT00600015,Sorafenib/Erlotinib Versus Erlotinib Alone in Previously Treated Advanced Non-Small-Cell Lung Cancer,True,3,3,Overall Objective Response Rate (ORR) (NUMBER) percentage of participants = 8.1 [3.77-14.83]; Progression Free Survival (PFS) (MEDIAN) Months = 3.38 [2.30-3.81]; Disease Control Rate (DCR) (NUMBER) percentage of participants = 54 [44-64],Duration of Response (MEAN) months = 4.6430; 6-month PFS (NUMBER) percentage of participants = 29; Overall Survival (OS) (MEDIAN) Months = 7.62 [5.35-10.54],,,,,Duration of Response (MEAN) months = 4.6430,,,Overall Objective Response Rate (ORR) (NUMBER) percentage of participants = 8.1 [3.77-14.83],Overall Survival (OS) (MEDIAN) Months = 7.62 [5.35-10.54],Progression Free Survival (PFS) (MEDIAN) Months = 3.38 [2.30-3.81]; 6-month PFS (NUMBER) percentage of participants = 29,,,Overall Objective Response Rate (ORR) (NUMBER) percentage of participants = 8.1 [3.77-14.83],,,
NCT00600821,A Study Of AG-013736 (Axitinib) Or Bevacizumab (Avastin) In Combination With Paclitaxel And Carbopla,True,1,10,Progression Free Survival (PFS) (MEDIAN) Months = 5.7 [4.1-7.5],"Overall Survival (OS) (MEDIAN) Months = 10.6 [7.5-16.4]; Percentage of Participants With Objective Response (OR) (NUMBER) Percentage of participants = 29.3 [18.1-42.7]; Duration of Response (DR) (MEDIAN) Months = 4.4 [4.2-6.7]; ; European Organization for Research and Treatment of Cancer, Quality of Life Questionnaire Core-30 (EORTC QLQ-C30) Score (MEAN) Units on a scale = 66.29; European Organization for Research and Treatment of Cancer, Quality of Life Questionnaire Lung Cancer-13 (QLQ- LC13) Score (MEAN) Units on a scale = 37.50; ; Circulating Endothelial Cells (CEC) in Blood: Total CEC (MEAN) Cells/milliliter (cells/mL) = 46815.38; Circulating Endothelial Cells (CEC) in Blood (MEAN) Flourescent Intensity Unit (FIU) = 1936317.98; Plasma Concentration of Soluble Proteins (MEAN) Picogram/mL (pg/mL) = 49740.29",,,,,Duration of Response (DR) (MEDIAN) Months = 4.4 [4.2-6.7],,,,Overall Survival (OS) (MEDIAN) Months = 10.6 [7.5-16.4],Progression Free Survival (PFS) (MEDIAN) Months = 5.7 [4.1-7.5],,"European Organization for Research and Treatment of Cancer, Quality of Life Questionnaire Core-30 (EORTC QLQ-C30) Score (MEAN) Units on a scale = 66.29; European Organization for Research and Treatment of Cancer, Quality of Life Questionnaire Lung Cancer-13 (QLQ- LC13) Score (MEAN) Units on a scale = 37.50",,,,
