nct_id,official_title,experimental_drugs,biomarkers,primary_outcomes,efficacy_status,reasoning
NCT00102804,"A Phase 3, Double-Blind, Placebo-Controlled Study of Maintenance Pemetrexed Plus Best Supportive Care Versus Best Supportive Care Immediately Following Induction Treatment for Advanced Non-Small Cell Lung Cancer",Pemetrexed,Unselected,"The primary endpoint, Progression-Free Survival (PFS), showed that the Pemetrexed arm had a median PFS of 4.27 months (95% CI: 4.07, 4.73) compared to 2.60 months (95% CI: 1.68, 2.83) in the Placebo arm. This indicates a longer PFS with pemetrexed.",POSITIVE,"The median PFS for Pemetrexed (4.27 months, 95% CI: 4.07, 4.73) was longer than for Placebo (2.60 months, 95% CI: 1.68, 2.83). The 95% confidence intervals for the median PFS values did not overlap, suggesting a statistically significant benefit of Pemetrexed over Placebo for the primary endpoint."
NCT00111839,"Randomized, Phase II, Open-Label Controlled Study of Two Different Doses and Schedules of EMD 72000 (Matuzumab) in Combination With Pemetrexed, or Pemetrexed Alone, as Second-Line Treatment for Stage IIIB/IV Non-Small Cell Lung Cancer and Progressive Disease on or After First-Line Treatment With a Platinum in Combination With Taxanes, Gemcitabine and Vinorelbine",Matuzumab,EGFR,"The primary endpoint, objective response rate, was numerically higher in the Matuzumab 800 mg arm (8/51 participants, 15.7%, 95% CI 7-29) compared to Pemetrexed alone (2/50 participants, 4%, 95% CI 1-14). However, the Matuzumab 1600 mg arm showed a lower response rate (1/47 participants, 2.1%, 95% CI 0-11). No statistical significance (p < 0.05) was reported for the comparison with the control arm.",NEGATIVE,"The primary endpoint, objective response rate, did not meet statistical significance. Although the Matuzumab 800 mg arm showed a numerically higher response rate, its 95% confidence interval for the number of responders substantially overlapped with the control arm. The Matuzumab 1600 mg arm performed worse than the control. No p-values indicating significance were reported."
NCT00112294,A Randomized Multicenter Phase III Study of Taxane/Carboplatin/Cetuximab Versus Taxane/Carboplatin as First-Line Treatment for Patients With Advanced/Metastatic Non-Small Cell Lung Cancer,Cetuximab,Unselected,"The primary endpoint, median progression-free survival (PFS), was 4.40 months for Cetuximab+Taxane+Carboplatin compared to 4.24 months for Taxane+Carboplatin. The hazard ratio was 0.902 (95% CI: 0.761, 1.069), with a p-value of 0.2358.",NEGATIVE,"The primary endpoint (PFS) did not meet statistical significance (p=0.2358), as the p-value was greater than 0.05 and the 95% confidence interval for the Hazard Ratio (0.761, 1.069) crossed 1.0."
NCT00113516,Phase 2 Study Of SU011248 As Consolidation Therapy In Patients With Locally Advanced Or Metastatic Non-Small Cell Lung Cancer,sunitinib,Unselected,"The primary endpoint, proportion of subjects surviving at one year, was 0.405 (90% CI: 0.315, 0.494).",NEGATIVE,"The study was designed to test the alternative hypothesis that the true one-year probability of survival is at least 0.55. The observed one-year survival rate of 0.405, with a 90% confidence interval of [0.315, 0.494], was below the target of 0.55, indicating that the primary endpoint was not met."
NCT00118144,Phase II Study of Bortezomib (PS-341) for Patients With Advanced Bronchiolo-Alveolar Carcinoma (BAC) or Adenocarcinoma With BAC Features,bortezomib,Unselected,The primary objective response rate (ORR) with bortezomib was 5%.,NEGATIVE,"The trial aimed for an objective response rate (ORR) of 20% or more to be 'of interest for further evaluation'. The observed ORR was 5%, which did not meet the predefined threshold for clinical interest, thus indicating a negative outcome regarding the primary endpoint's efficacy signal."
NCT00130728,"A Phase III, Multicenter, Placebo-Controlled, Double-Blind, Randomized Clinical Trial to Evaluate the Efficacy of Bevacizumab in Combination With Tarceva (Erlotinib) Compared With Tarceva Alone for Treatment of Advanced Non-Small Cell Lung Cancer (NSCLC) After Failure of Standard First-Line Chemotherapy",bevacizumab,Unselected,"The primary endpoint, Overall Survival (OS), showed no significant difference between the bevacizumab plus erlotinib arm (median 9.3 months) and the erlotinib plus placebo arm (median 9.2 months).",NEGATIVE,"The primary endpoint of Overall Survival had a p-value of 0.7583 (p >= 0.05) and a Hazard Ratio 95% Confidence Interval (0.799, 1.177) that crossed 1.0, indicating no statistically significant benefit."
NCT00137839,A Phase II Study of Erlotinib (OSI-774); Tarceva in Women With Previously Untreated Advance Adenocarcinoma of the Lung,Erlotinib,EGFR,"The primary outcome, Overall Response Rate (ORR), was 27.7% (95% Confidence Interval: 18.5% to 38.7%) in the Erlotinib arm.",POSITIVE,"The primary endpoint, Overall Response Rate (ORR), showed a value of 27.7% with a 95% Confidence Interval of 18.5% to 38.7%. As the lower limit of the confidence interval is well above zero, this indicates a statistically significant response rate, demonstrating a positive signal of drug activity in this Phase II study."
NCT00138203,A Phase II Study of Suberoylanilide Hydroxamic Acid (SAHA) in Patients With Relapsed Non-small Cell Lung Cancer,vorinostat,Unselected,"The primary endpoint, Response Per RECIST Criteria, showed 0 objective responses (Complete Response or Partial Response) among 14 evaluable participants treated with SAHA.",NEGATIVE,"The primary endpoint reported 0 objective responses (CR+PR) among the evaluable participants, indicating a lack of efficacy for vorinostat (SAHA) in this patient population."
NCT00138658,A Phase 1-2 Study of Weekly OGX-011 Plus a Gemcitabine/Platinum-Based Regimen in Patients With Stage IIIB or IV Non Small Cell Lung Cancer,custirsen sodium,Unselected,The primary outcome was Objective Response Rate of OGX-011 in combination with a gemcitabine/platinum-based regimen. An objective response rate of 26% was reported among 81 participants.,UNCERTAIN,"The primary outcome, Objective Response Rate, was reported as a percentage (26%), but no statistical significance (e.g., p-value or confidence interval for a comparative effect) was provided to determine if the endpoint was met. This makes the efficacy status uncertain based on the provided data."
NCT00148798,"Open, Randomized, Controlled, Multicenter Phase III Study Comparing Cisplatin/Vinorelbine Plus Cetuximab Versus Cisplatin/Vinorelbine as First-line Treatment for Patients With Epidermal Growth Factor Receptor Expressing (EGFR-expressing) Advanced NSCLC.",cetuximab,EGFR,"The primary endpoint, Overall Survival Time (OS), showed a median OS of 11.3 months (95% CI: 9.4-12.4) for the cetuximab plus chemotherapy arm compared to 10.1 months (95% CI: 9.1-10.9) for chemotherapy alone. This difference was statistically significant (p=0.0441).",POSITIVE,"The primary endpoint, Overall Survival Time, demonstrated a p-value of 0.0441, which is less than 0.05, indicating statistical significance."
NCT00152477,"A Two-Part, Open Label Phase II Trial: Part One, Dose Escalation Safety; Part Two, Randomized/Comparing CDP791 Plus Carboplatin/Paclitaxel With Carboplatin/Paclitaxel Alone in Subjects With Locally Advanced or Metastatic Non-Squamous Non-Small-Cell Lung Cancer",CDP791 10mg/kg; CDP791 20mg/kg,Unselected,"The primary endpoint, Tumor Response Rate (RR), did not show a statistically significant improvement with the addition of CDP791 to carboplatin/paclitaxel. For the pooled CDP791 arm, the difference in response rate compared to standard chemotherapy was 6.4% (95% CI: -7.7% to 20.5%, p=0.384). Neither the 10mg/kg nor the 20mg/kg dose of CDP791 individually showed a significant difference in RR compared to the control arm.",NEGATIVE,"All statistical analyses for the primary endpoint (Tumor Response Rate) comparing CDP791-containing arms to the control arm yielded p-values greater than 0.05, and the 95% confidence intervals for the difference in response rates crossed zero, indicating no statistically significant benefit from CDP791."
NCT00153803,"A National Web-Based Randomized Phase III Study of Erlotinib or Placebo Following Concurrent Docetaxel, Carboplatin, and Thoracic Radiotherapy in Patients With Inoperable Stage III Non-Small Cell Lung Cancer (D0410).",Erlotinib,Unselected,"The primary endpoint, Progression Free Survival, showed a median of 7.4 months for the Erlotinib arm and 8.1 months for the Placebo arm. The hazard ratio was 0.93 (95% CI: 0.65-1.33), with a p-value of 0.165.",NEGATIVE,"The primary endpoint (Progression Free Survival) did not meet statistical significance (p=0.165), and the 95% confidence interval for the Hazard Ratio (0.65-1.33) crossed 1.0."
NCT00172042,A Study to Evaluate the Safety and Efficacy of Zoledronic Acid in the Prevention or Delaying of Bone Metastasis in Patients With Stage IIIA and IIIB Non-small Cell Lung Cancer,Zoledronic acid,Unselected,"The primary endpoint of progression-free survival (PFS) was not met. Median PFS was 9.0 months (95% CI: 6.8-12.4) in the Zoledronic Acid arm compared to 11.3 months (95% CI: 7.7-15.8) in the Control arm, showing no improvement and a numerically shorter PFS. Other primary outcomes like Kaplan-Meier estimates for PFS and the percentage of participants with progression events also indicated no benefit or a trend towards worse outcomes for Zoledronic Acid.",NEGATIVE,"The median progression-free survival for zoledronic acid was numerically shorter (9.0 months) compared to control (11.3 months), with overlapping 95% confidence intervals (6.8-12.4 vs 7.7-15.8), indicating no statistically significant benefit. All reported primary outcome measures consistently showed no improvement or a trend towards worse outcomes in the experimental arm."
NCT00191139,"A Randomized Study of Gemcitabine Plus Docetaxel After Cisplatin, Etoposide and Radiation Therapy in Stage III Unresectable NSCLC",gemcitabine; docetaxel,Unselected,"The primary endpoint was 2-Year Survival, with the Gemcitabine arm showing 40.6% survival and the Gemcitabine Plus Docetaxel arm showing 55.7% survival. No comparative p-value or specific statistical comparison (e.g., hazard ratio with confidence interval) for the primary endpoint between the two arms was reported.",UNCERTAIN,"The primary endpoint, 2-Year Survival, lacked a reported p-value or comparative statistical analysis (e.g., HR/CI) to determine significance between the treatment arms, leading to an uncertain efficacy status according to the specified criteria."
NCT00191191,LY231514 500 mg/m2 and LY231514 1000 mg/m2 in Patients With Advanced Non-Small Cell Lung Cancer Who Were Previously Treated With Prior Systemic Anti Cancer Therapy: A Randomized Phase II Trial,Pemetrexed,Unselected,"The primary outcome, Best Overall Response, showed 20 (18.5%) Partial Responses (PR) in the Pemetrexed 500 mg/m2 arm (n=108) and 16 (14.8%) PRs in the Pemetrexed 1000 mg/m2 arm (n=108). No Complete Responses were observed in either arm. The median duration of response was 4.9 months (95% CI: 3.8-8.7) for 500 mg/m2 and 3.0 months (95% CI: 2.8-6.1) for 1000 mg/m2. Median Progression-Free Survival was 3.0 months (95% CI: 2.0-3.5) for 500 mg/m2 and 2.5 months (95% CI: 1.8-3.2) for 1000 mg/m2.",UNCERTAIN,"The primary outcome 'Best Overall Response' is reported with counts of CR, PR, SD, and PD for each arm. However, the provided data does not include a p-value or a confidence interval for the statistical comparison between the two Pemetrexed doses for this primary endpoint. Therefore, it is not possible to determine if the primary endpoint met statistical significance (p < 0.05) as per the defined criteria."
NCT00191308,Molecular Profiling and Safety Study of Operable Lung Cancer Patients Treated With Alimta Combined With Cisplatin as Neoadjuvant Chemotherapy,pemetrexed,Unselected,"The primary endpoint, 'High/Low Expression of Selected Molecular Markers in Tumor Tissues and Hypermethylated Genes in Peripheral Blood', was not analyzed due to early termination of the study and insufficient tumor samples (enrollment stopped early at 30 participants, with tumor samples from only 19, and these analyses were not conducted due to little scientific and medical relevance). Therefore, no results for the primary outcome are available.",UNCERTAIN,"The primary outcome analyses were not conducted due to early study termination and insufficient sample size, preventing any conclusions regarding the primary endpoint's efficacy or molecular findings."
NCT00192036,Multicenter Phase II Trial Evaluating Cisplatin-Gemcitabine With Concomitant Thoracic Radiotherapy for Treatment of Inoperable Stage III Non Small Cell Lung Cancer,,Unselected,"The primary outcome, Tumor Response at End of Treatment, reported 1 (2%) complete response and 18 (37%) partial responses (objective response rate of 38.7%) among 49 enrolled participants. No statistical significance or confidence intervals for the response rate were reported.",UNCERTAIN,"The trial's primary endpoint (Tumor Response) provided descriptive statistics (counts and percentages of responses) but no statistical analysis such as a p-value or confidence interval, making it impossible to determine if the endpoint met statistical significance."
NCT00201825,A Phase II Study of Capecitabine and Docetaxel in Previously Untreated Advanced Non-Small Cell Lung Cancer Patients,Capecitabine; Docetaxel,Unselected,"The primary outcome was Objective Response Rate (ORR). Out of 27 evaluable patients (1 patient removed due to adverse event), 5 achieved an overall response (Complete Response + Partial Response), resulting in an ORR of 18.5%.",UNCERTAIN,"The trial is a Phase II study designed to determine the objective response rate. While an ORR of 18.5% was reported, no p-value or confidence interval for the primary endpoint was provided to assess statistical significance against a pre-defined threshold or comparator, as required by the criteria for POSITIVE/NEGATIVE."
NCT00216125,A Phase III Trial of Cisplatin/Etoposide/Radiotherapy With or Without Consolidation Docetaxel in Patients With Inoperable Locally Advanced Stage III Non-Small Cell Lung Cancer (NSCLC): Hoosier Oncology Group LUN01-24,Docetaxel,Unselected,"The primary endpoint, Overall Survival, was not significantly improved with consolidation docetaxel compared to observation. Median overall survival was 21.5 months (95% CI: 17.0-34.8) in the docetaxel arm and 24.1 months (95% CI: 18.0-34.2) in the observation arm.",NEGATIVE,"The primary endpoint, Overall Survival, failed to meet statistical significance (p=0.883), which is greater than the typical alpha level of 0.05. The median overall survival was numerically lower in the docetaxel arm, and the 95% confidence intervals largely overlap."
NCT00216203,A Phase I-IIa Dose-Ranging Study of Pemetrexed (Alimta) Plus Cetuximab (Erbitux) in Patients With Recurrent Non-Small Cell Lung Cancer (NSCLC): Hoosier Oncology Group LUN04-79,Pemetrexed; Cetuximab,Unselected,"The primary objective of identifying the maximum tolerated dose (MTD) was met, with the MTD of pemetrexed in combination with cetuximab determined to be 750 mg/m^2. For the efficacy primary endpoint, the median Time To Progression (TTP) was estimated at 14.6 weeks (95% CI: 6.0, 78.7).",UNCERTAIN,"The study successfully identified the maximum tolerated dose (MTD). However, for the efficacy primary endpoint of Time To Progression (TTP), no p-value was reported, and it's a single-arm study, making it impossible to determine if it 'met significance' or 'failed' based on the provided criteria (p < 0.05 or CI crossing 1.0/0 for a comparative outcome). Therefore, the efficacy status for TTP is uncertain from the given data."
NCT00227019,Phase II Trial of Bevacizumab in Combination With Pemetrexed as Second Line Therapy in Patients With Stable Brain Metastases From Non-small Cell Lung Cancer (NSCLC) (Excluding Squamous Cell Carcinoma),Bevacizumab; Pemetrexed,Unselected,The primary endpoint measured the incidence of Central Nervous System (CNS) hemorrhagic events. 0 CNS hemorrhagic events were reported among 16 participants.,UNCERTAIN,"The primary endpoint was a safety outcome (incidence of CNS hemorrhagic events), not an efficacy outcome. Although 0 events were reported in 16 participants, no statistical analysis (e.g., p-value or confidence interval against a predefined threshold or comparator) was provided to assess if this outcome met statistical significance according to the specified criteria for efficacy status."
NCT00231465,Phase II Study of Taxotere® (Docetaxel) + ZD1839 (IRESSA®) in Previously Untreated Elderly Patients (≥70 Years Old) With Stage III-b (With Malignant Pleural Effusion [MPE+]) or Stage IV Non-Small Cell Lung Cancer (NSCLC),ZD1839; gefitinib,Unselected,"The primary endpoint, Overall Response Rate (ORR), was 40% (95% CI: 26%, 57%) in 42 evaluable patients.",NEGATIVE,"The primary endpoint of Overall Response Rate (ORR) was reported, but no p-value was provided to determine statistical significance against a null hypothesis or pre-defined threshold. Therefore, the criterion for a POSITIVE outcome (p < 0.05) cannot be confirmed."
NCT00240097,"Study of Sequential Topoisomerase, Irinotecan/Oxaliplatin-Etoposide/Carboplatin in Extensive SCLC",Irinotecan; Oxaliplatin,Unselected,"For the Objective Response Rate (Part I) primary endpoint, 24 out of 26 participants (92.3%) achieved an objective response (Complete Response or Partial Response) with the sequential Irinotecan/Oxaliplatin and Etoposide/Carboplatin regimens. The second primary endpoint, Response Rate After Relapse, had no evaluable participants as all subjects dropped out or died prior to experiencing relapse.",UNCERTAIN,"The study reports descriptive results for the Objective Response Rate (Part I) but does not provide p-values or confidence intervals for statistical significance relative to a control group or a predefined threshold. The second primary endpoint, Response Rate After Relapse, had no evaluable participants. Therefore, it is uncertain if primary endpoints met statistical significance."
NCT00243867,"A Phase III, Randomized, Study of Weekly Taxoprexin Plus Carboplatin Versus Paclitaxel Plus Carboplatin as First Line Chemotherapy in Patients With Advanced Non-Small Cell Lung Cancer",Taxoprexin,Unselected,"The primary endpoint, Overall Survival, was 8.31 months (95% CI: 7.0-9.89) for the Taxoprexin + Carboplatin arm and 8.51 months (95% CI: 7.82-9.69) for the Paclitaxel + Carboplatin arm, indicating no statistically significant difference.",NEGATIVE,"The median overall survival for the experimental arm (Taxoprexin + Carboplatin) was numerically similar to, and slightly less than, the active comparator arm (Paclitaxel + Carboplatin). The 95% confidence intervals for overall survival extensively overlapped (7.0-9.89 vs 7.82-9.69 months), strongly suggesting that the primary endpoint did not achieve statistical significance (p >= 0.05)."
NCT00245063,Phase II Study of AZD2171 in Patients With Recurrent Small Cell Lung Cancer,cediranib maleate,Unselected,"The primary endpoint, Objective Response Rate (ORR), was 0% in both the 45 mg (n=12) and 30 mg (n=13) cediranib maleate treatment arms.",NEGATIVE,"The objective response rate was 0% in both experimental arms, meaning no patients achieved an objective response, indicating a failure to meet the primary efficacy endpoint for this drug in recurrent small cell lung cancer."
NCT00247416,Randomized Phase II Trail of Carboplatin and Gemcitabine Untreated Stage IIIB-pleural Effusion and Stage IV Lung Cancer,Dexamethasone,Unselected,"The primary outcome measured the percentage of participants with Grade 3/4 Neutropenia. In the control arm (no dexamethasone pretreatment), 40% of participants experienced Grade 3/4 neutropenia. In the experimental arm (dexamethasone pretreatment), 13% of participants experienced Grade 3/4 neutropenia, indicating a numerical reduction.",UNCERTAIN,"The data for the primary endpoint 'Percentage of Participants With Reduction in Grade 3/4 Neutropenia' provides the observed percentages for each group (40% vs 13%), but it does not include a p-value or a confidence interval for the comparison between the two arms. Therefore, it is not possible to determine if the primary endpoint met statistical significance (p < 0.05)."
NCT00257608,"A Randomized, Double-Blind, Placebo-Controlled, Phase IIIb Trial Comparing Bevacizumab Therapy With or Without Erlotinib After Completion of Chemotherapy With Bevacizumab for the First-Line Treatment of Locally Advanced, Recurrent, or Metastatic Non-Small Cell Lung Cancer",erlotinib,Unselected,"The primary endpoint, Progression-free Survival (PFS), was significantly improved in the Bevacizumab + Erlotinib arm (median 4.8 months) compared to the Bevacizumab + Placebo arm (median 3.7 months). The Hazard Ratio was 0.708 (95% Confidence Interval: 0.580-0.864) with a p-value of 0.0006.",POSITIVE,"The primary endpoint (PFS) demonstrated statistical significance (p = 0.0006 < 0.05) and the 95% confidence interval for the Hazard Ratio (0.580-0.864) did not cross 1.0, indicating a positive outcome for erlotinib."
NCT00269152,A Randomized Phase 2 Study of Pemetrexed in Combination With Cisplatin or Carboplatin as Adjuvant Chemotherapy in Patients With Completely Resected Stage Ib or II Non-Small Cell Lung Cancer,pemetrexed,Unselected,"The primary outcome measured the feasibility of post-surgery chemotherapy, defined as completion of 4 treatment cycles without remaining toxicities ≥Grade 3 at 30 days after last infusion. For the Pemetrexed + Cisplatin arm, the feasibility rate was 59.4% (95% CI: 46.4-71.5). For the Pemetrexed + Carboplatin arm, the feasibility rate was 50.0% (95% CI: 36.1-63.9).",UNCERTAIN,"This Phase 2 study's primary endpoint was feasibility, with results reported as percentages and confidence intervals for each arm. No p-value was provided to determine if a pre-defined feasibility threshold was met with statistical significance (p < 0.05), nor was there a statistical comparison between the two arms for the primary endpoint."
NCT00271505,A Phase II Evaluation of Avastin in Combination With Docetaxel and Carboplatin as Chemotherapy in Patients With Metastatic Non-Small Cell Lung Cancer,Bevacizumab,Unselected,"The primary endpoint was Time to Progression-Free Survival (PFS). The median PFS for the single treatment arm (Carboplatin, Docetaxel, and Bevacizumab) was 7.9 months (95% CI: 6.0-11.1 months).",UNCERTAIN,"This was a single-arm Phase II trial. The reported outcome provides descriptive statistics (median PFS with 95% CI) but no p-value or comparative statistical measure (e.g., hazard ratio with confidence interval) against a control arm or predefined threshold to determine if the primary endpoint met statistical significance according to the specified criteria."
NCT00290355,"A Phase IIB Study to Assess the Efficacy of GSK 249553 as Adjuvant Therapy Given to MAGE-3-Positive Patients With Non-Small-Cell Lung Cancer in Stage IB (T2/N0) or II (T1/N1 or T2/N1 or T3/N0), Who Have Had Complete Surgical Resection",GSK 249553 vaccine,Unselected,"The primary endpoint, 'Number of Patients Reporting Confirmed Non-small-cell Lung Cancer (NSCLC) Recurrence', showed a Hazard Ratio of 0.74 (95% CI: 0.44, 1.24) for GSK 249553 versus placebo. The p-value was 0.256.",NEGATIVE,"The primary endpoint analysis for NSCLC recurrence showed a p-value of 0.256, which is greater than 0.05. Additionally, the 95% confidence interval for the Hazard Ratio (0.44, 1.24) crosses 1.0, indicating no statistically significant difference between the experimental and placebo groups."
NCT00308750,"A Randomized, Open-label Phase II Study of Pemetrexed (Alimta) Plus Carboplatin With or Without Enzastaurin Hydrochloride, or Docetaxel Plus Carboplatin as First Line Treatment in Patients With Advanced Stage Non-small Cell Lung Cancer (NSCLC)",enzastaurin,Unselected,"The primary endpoint, Time to Disease Progression, did not show a statistically significant difference. The Enzastaurin/Pemetrexed/Carboplatin arm had a median of 4.6 months (95% CI: 3.2-6.7) compared to Docetaxel/Carboplatin at 4.1 months (95% CI: 2.6-6.3), with a p-value of 0.40. The Pemetrexed/Carboplatin arm had a median of 6.0 months (95% CI: 4.6-6.5) compared to Docetaxel/Carboplatin at 4.1 months (95% CI: 2.6-6.3), with a p-value of 0.19. Neither experimental arm met statistical significance (p < 0.05) against the active comparator.",NEGATIVE,"The primary endpoint 'Time to Disease Progression' failed to meet statistical significance (p-value 0.40 for Enzastaurin combination vs Docetaxel combination, and p-value 0.19 for Pemetrexed combination vs Docetaxel combination) in all comparisons involving the experimental arms."
NCT00312377,"A Phase III, Randomized, Double-Blinded, Multi-Center, Study to Assess the Efficacy of Docetaxel (TAXOTERE™) in Combination With ZD6474 (ZACTIMA™) Versus Docetaxel (TAXOTERE™) With Placebo in Subjects With Locally Advanced or Metastatic NSCLC",Vandetanib,Unselected,"The trial had two primary endpoints: Progression-Free Survival (PFS) in the Overall Population and PFS in the Female Population. For the overall population, median PFS was 17.3 weeks (95% CI: 15, 18) for vandetanib plus docetaxel, compared to 14 weeks (95% CI: 12.7, 16.9) for placebo plus docetaxel. For the female population, median PFS was 20.1 weeks (95% CI: 17.9, 23.9) for vandetanib plus docetaxel, compared to 18.3 weeks (95% CI: 15, 22.1) for placebo plus docetaxel. In both primary endpoints, the 95% confidence intervals for the experimental and control arms overlapped, indicating no statistically significant difference.",NEGATIVE,"Both primary endpoints, PFS in the overall population and PFS in the female population, showed overlapping 95% confidence intervals between the experimental (Vandetanib + Docetaxel) and control (Placebo + Docetaxel) arms, indicating that the primary endpoints did not meet statistical significance."
NCT00312728,A Phase II Trial of Bevacizumab in Combination With First- or Second-Line Therapy in Subjects With Treated Brain Metastases Due to Non-Squamous Non-Small Cell Lung Cancer,bevacizumab,Unselected,"The primary outcome was the percentage of participants with symptomatic NCI CTCAE Grade ≥2 Central Nervous System (CNS) hemorrhage. In the bevacizumab arm, 0% of participants experienced this event (90% CI: 0-2.5%).",POSITIVE,"The primary outcome was a safety endpoint measuring symptomatic CNS hemorrhage. The reported rate of 0% (90% CI: 0-2.5%) indicates a favorable safety profile with respect to this specific adverse event, which was the primary objective of this safety-focused trial in a high-risk population (patients with treated brain metastases)."
NCT00316225,A Phase 2 Study of ALIMTA in Solid Tumor Patients With Stable Third-Space Fluid,pemetrexed,Unselected,"Among 31 evaluable patients, the objective response rate (complete response + partial response) was 6.45% (0 complete responses, 2 partial responses). The disease control rate (complete response + partial response + stable disease) was 32.25% (10 patients).",UNCERTAIN,"The trial's primary outcome, as specified in the data, is 'Overview of Adverse Events' (a safety endpoint). While an 'Overall Tumor Response' (efficacy endpoint) is reported as an 'other pre-specified' outcome, no statistical significance (p-value) or confidence intervals are provided for this efficacy outcome, nor is it the declared primary endpoint. Therefore, based on the criteria that efficacy status depends on whether the 'Primary endpoint met significance', the efficacy status is uncertain as no primary efficacy endpoint with reported significance is present."
NCT00318136,"A Pilot Study of Bevacizumab Plus Carboplatin and Paclitaxel in Subjects With Advanced, Previously Untreated, Squamous Non-Small Cell Lung Cancer",Bevacizumab,Unselected,"The primary outcome, incidence of Grade >=3 pulmonary hemorrhage adverse events, was 3.2% (90% CI: 0.3%, 13.5%).",UNCERTAIN,"The primary endpoint of this pilot study was a safety outcome (incidence of pulmonary hemorrhage), not an efficacy outcome. No p-value or statistical significance for an efficacy endpoint was reported to determine a 'POSITIVE' or 'NEGATIVE' status, and the criteria for 'MIXED' or 'NEGATIVE' (CI crossing 1.0/0) do not apply to this descriptive safety outcome."
NCT00322452,"Open Label, Randomised, Parallel Group, Multicentre, Ph III Study To Assess Efficacy, Safety & Tolerability Of Gefitinib (IRESSA™) Versus Carboplatin/Paclitaxel DC As 1st-Line Treatment In Selected Patients With Stage IIIB / IV NSCLC In Asia",Gefitinib,Unselected,"The primary endpoint, median Progression Free Survival (PFS), was 5.7 months (95% CI: 5.4 - 6.8) for Gefitinib and 5.8 months (95% CI: 5.6 - 6.4) for Carboplatin/Paclitaxel. The confidence intervals for the two arms largely overlap, indicating no statistically significant difference in PFS.",NEGATIVE,"The primary endpoint, median Progression Free Survival (PFS), showed highly overlapping 95% Confidence Intervals (5.4-6.8 for Gefitinib and 5.6-6.4 for chemotherapy), indicating no statistically significant difference between the experimental drug and the active comparator. This signifies that the primary endpoint failed to demonstrate superiority for Gefitinib."
NCT00323869,Phase II Trial of Bevacizumab in Combination With Gemcitabine and Carboplatin in Patients With Newly Diagnosed Non-Small Cell Lung Cancer (Excluding Squamous Cell Carcinoma),Bevacizumab,Unselected,"The primary outcome, median Progression-free Survival (PFS), was 8.7 months (range 7.8-17.9 months) in the single treatment arm.",UNCERTAIN,"This is a single-arm Phase II trial. The reported primary endpoint (median PFS) is a descriptive statistic without a p-value or confidence interval for comparison against a control arm or a pre-specified target, which is necessary to determine 'POSITIVE' or 'NEGATIVE' efficacy status according to the provided definitions."
NCT00324805,A Phase III Randomized Trial of Adjuvant Chemotherapy With or Without Bevacizumab for Patients With Completely Resected Stage IB (≥ 4 cm) - IIIA Non-small Cell Lung Cancer (NSCLC),Bevacizumab,Unselected,"The primary endpoint, Overall Survival (OS), was not met. There was no statistically significant difference in OS between the bevacizumab-containing arm and the chemotherapy-alone arm (HR 0.99, 95% CI 0.82-1.19, p=0.90).",NEGATIVE,"The study explicitly stated that it 'failed to meet its primary endpoint' for Overall Survival. The p-value for the primary outcome (OS) was 0.90, which is >= 0.05, and the 95% CI for the Hazard Ratio (0.82-1.19) crosses 1.0, both indicating a lack of statistical significance for the experimental treatment compared to control."
NCT00343291,"Phase II Randomized, Open-Label Study of Cetuximab and Bevacizumab in Combination With Paclitaxel and Carboplatin in Patients With Stage IIIB/IV Non-Small Cell Lung Cancer",Cetuximab; Bevacizumab,Unselected,"The primary endpoint, Progression Free Survival (PFS), showed a median of 6.05 months (95% CI: 5.65, 7.03) for the Cetuximab + Bevacizumab + Paclitaxel + Carboplatin (6/6) arm and 4.50 months (95% CI: 4.01, 5.42) for the Cetuximab + Bevacizumab + Paclitaxel + Carboplatin (6/3) arm.",UNCERTAIN,"The trial compared two active arms. While the median PFS values were numerically different and their 95% confidence intervals did not overlap, a p-value for the statistical comparison between the two arms for the primary endpoint was not reported, making it impossible to determine if the primary endpoint met significance (p < 0.05) as per the defined criteria."
NCT00350792,A Phase II Trial Pemetrexed Carboplatin as First Line Chemotherapy for Advanced Non-Small Cell Lung Cancer (NSCLC) in Elderly Patients,pemetrexed,Unselected,"Overall tumor response rate (ORR) was 28.6% (95% CI: 16.58% to 43.26%), demonstrating anti-tumor activity.",POSITIVE,"The 95% confidence interval for the primary endpoint (overall tumor response rate) is entirely above zero, indicating a statistically significant anti-tumor effect against a null hypothesis of no response (p < 0.05) for this single-arm Phase II trial."
NCT00356122,A Phase II Multicenter Study of Docetaxel and Oxaliplatin in Combination With Bevacizumab as First-Line Treatment in Chemotherapy-Naïve Subjects With Unresectable Locally Advanced and/or Recurrent (Stage IIIB) or Metastatic (Stage IV) Non-Squamous Cell Histology Non-Small Cell Lung Cancer (NSCLC),Bevacizumab,Unselected,"The primary outcome was Progression-free Survival (PFS), with a median PFS of 5.6 months (95% Confidence Interval: 3.7-7.6 months) reported for the Docetaxel/Oxaliplatin/Bevacizumab arm.",UNCERTAIN,"This is a single-arm Phase II study. While primary outcome results (median PFS) are reported, there is no p-value, comparator arm, or predefined threshold for statistical significance provided to determine if the primary endpoint met significance (p < 0.05) as per the defined criteria."
